generated_status,decision,reviewer,review_notes,hr_rank,hr_frequency,ekavian_lemma,ijekavian_lemma,ikavian_suggestion,rule,family_anchor,upos,compatible_msd_slots,changed_surface_pairs,ambiguous_msd_slots,reasons
review,,,,6850,9212,svežina,svježina,svižina,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
accepted,,,,6863,9190,osetno,osjetno,ositno,je→e,osetiti↔osjetiti,ADV,3,3,0,
review,,,,6870,9179,isterati,istjerati,istirati,je→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6876,9166,prenosnik,prijenosnik,prinosnik,ije→e,pre↔prije,NOUN,13,13,1,ambiguous-surface-variants
review,,,,6889,9115,cesta,cista,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,6906,9076,zapoved,zapovijed,zapovid,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6913,9059,izvoleti,izvoljeti,izvoliti,je→e,voleti↔voljeti,ADJ|ADV|VERB,60,13,16,ambiguous-surface-variants
known,,,,6920,9032,mešanje,miješanje,mišanje,ije→e,mešati↔miješati,NOUN,13,13,1,ambiguous-surface-variants
review,,,,6932,9019,ulepšati,uljepšati,ulipšati,je→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6955,8975,inekcija,injekcija,inikcija,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6959,8969,zalepiti,zalijepiti,zalipiti,ije→e,potkrepiti↔potkrijepiti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
accepted,,,,6964,8963,pobednica,pobjednica,pobidnica,je→e,sednica↔sjednica,NOUN,14,14,0,
known,,,,6975,8936,nevreme,nevrijeme,nevrime,ije→e,vreme↔vrijeme,NOUN,13,3,1,ambiguous-surface-variants
review,,,,7015,8851,ismejavati,ismijavati,,i→e,,ADJ|ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7060,8773,neprimeren,neprimjeren,neprimiren,je→e,neprimenjivi↔neprimjenjivi,ADJ,64,64,32,ambiguous-surface-variants
review,,,,7061,8773,opsesti,opsjesti,opsisti,je→e,zaposesti↔zaposjesti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7097,8693,osvetljenje,osvjetljenje,osvitljenje,je→e,odeljenje↔odjeljenje,NOUN,13,13,1,ambiguous-surface-variants
accepted,,,,7099,8690,neverica,nevjerica,nevirica,je→e,neverovatni↔nevjerovatni,NOUN,14,14,0,
review,,,,7112,8671,ždreb,ždrijeb,ždrib,ije→e,,NOUN,12,12,2,no-higher-trust-family-anchor|ambiguous-surface-variants
accepted,,,,7135,8624,odupreti,oduprijeti,odupriti,ije→e,uneti↔unijeti,ADV|VERB,23,8,0,
review,,,,7260,8379,prestolnica,prijestolnica,pristolnica,ije→e,pre↔prije,NOUN,13,13,1,ambiguous-surface-variants
review,,,,7273,8354,smeštati,smještati,smištati,je→e,smeštaj↔smještaj,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7295,8322,procureti,procuriti,,i→e,,ADV|VERB,10,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-two-changed-surface-pairs
review,,,,7303,8313,preselenje,preseljenje,preselinje,je→e,presek↔presjek,NOUN,13,13,1,ambiguous-surface-variants
review,,,,7322,8270,vešt,vješt,višt,je→e,veštačenje↔vještačenje,ADJ,91,91,48,ambiguous-surface-variants
review,,,,7328,8248,poterati,potjerati,potirati,je→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
